name,inhabitedSince,inhabitedUntil,name_local,civilizations,wikipedia,wikidata,link,desc,name.no,name.id,name.eo,name.bg,name.be,old_name,religion,denomination,name.ckb,description.hu,wiki.en,name.zh,inscription,historic.period,name.ka,description.de,name.ko,name.he3,url,access,layer,addr.city,name.ku,alt_name.ar,name.la,alt_name.el,website1,whc.inscription_date,whc.criteria,ref.whc,designation,name.ml,name.he1,name.ro,image_2,image_1,reference,name.hy,man_made,description.en,place,name.vi,name.tr,name.sl,name.pl,name.nl,name.mn,name.ja,name.fi,int_name,mapillary,alt_name.he,alt_name.en,name.hu,heritage,name.lt,historic.era,old_name.fr,image6,image5,image4,image2,wikipedia.en,start_date,site_type,short_name.cs,name.uk,name.sr,name.pt,name.it,name.es,name.ca,name.br,historic.civilization,alt_name.cs,name.en6,name.en5,name.he2,website,name.cs,name.en4,name.en3,natural,ele,name.ar1,name.en2,name.en1,image3,image1,image,description.he,description,name.fr,name.ar,name.he,name.en,name.ru,name.de,is_in,name.el,alt_name,name.pa,name.mr,name.kn,name.hi,name.gu,name.bn,wpt_description
חורבת רבוא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,420,,,,,,,,,,,חורבת רבוא,Horbat Ribbo,,,,,,,,,,,,
תל רכש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל רכש,Tel Rekhesh,,,,,,,,,,,,
הר ערקוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,,Jebel Irqab Isdud,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Israel_Hiking_Map_%D7%94%D7%A8_%D7%A2%D7%A8%D7%A7%D7%95%D7%91.jpeg,"הר עם הרבה ציורי סלע, מאובנים ותצפית יפה שחושפת סימנים לנבטים שאכלסו את האזור. לפי חוקרים ציורי הסלע היו חלק מטקסי פולחן של הנבטים.","הר עם הרבה ציורי סלע, מאובנים ותצפית יפה שחושפת סימנים לנבטים שאכלסו את האזור. לפי חוקרים ציורי הסלע היו חלק מטקסי פולחן של הנבטים.",,,הר ערקוב,Mt. `Arqov,,,,,,,,,,,,
תל רחוב,,,,,he:תל רחוב,Q2920011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%A8%D7%97%D7%95%D7%91.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%A8%D7%97%D7%95%D7%91_1.jpeg,תל גבוה ותצפית יפה (על שדה החמניות בעונה). עליות מעניינות לג'יפים.,תל גבוה ותצפית יפה (על שדה החמניות בעונה). עליות מעניינות לג'יפים.,Tel Rehov,,תל רחוב,Tel Rehov,,,,,,,,,,,,
תל ערד,,,,,en:Tel Arad,Q2063578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell Urad,Tall Arud,,,,Arod,Arad,,,,,,Tel Arad,,תל ערד,Tel Arad,,,,,,,,,,,,
Tel Malluah,,,,,,Q31354640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל מלוח,Tel Malluah,,,,,,,,,,,,
תל בטש,,,,,,Q2916736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timna,,תל בטש,Tel Batash,,,,,,,,,,,,
תל גת חפר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل غت حفر,תל גת חפר,Tel Gat Hefer,,,,,,,,,,,,
Tel Hodim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל הודים,Tel Hodim,,,,,,,,,,,,
תל ינעם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל ינעם,Tel Yin`am,,,,,,,,,,,,
תל גובל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל גובל,Tel Govel,,,,,,,,,,,,
תל פורן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל פורן,Tel Poran,,,,,,,,,,,,
תל בית שאן,,,,,,Q3517238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Bejt Še'an,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/IHM_תל_בית_שאן.jpeg,,,Tel Beït-Shéan,,תל בית שאן,Tel Beit Shean,,,,,,,,,,,,
תל גדור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.parks.org.il/reserve-park/%D7%92%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%95%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%97%D7%95%D7%A3-%D7%92%D7%93%D7%95%D7%A8/,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/IHM_תל_גדור.jpeg,התל מתנשא 33 מ' מעל פני הים ומראשו יש תצפית נפלאה על החוף ועל מרחבי השרון.,התל מתנשא 33 מ' מעל פני הים ומראשו יש תצפית נפלאה על החוף ועל מרחבי השרון.,,,תל גדור,Tel Gador,,,,,Tell as-Sheikh Ziraq,,,,,,,
תל עתר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל עתר,Tel `Eter,,,,,,,,,,,,
תל יונה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell Yunis,,,,,,,,תל יונה,Tel Yona,,,,,,,,,,,,
תל עדולם,,,,,he:עדולם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת עדולם,,,,Miya,peak,439,,Khirbat Jubeil Naqqar,Khirbat Id al Minya,,,,"חורבות, מערות, באר מים ונוף יפה צפונה אל עמק האלה","חורבות, מערות, באר מים ונוף יפה צפונה אל עמק האלה",,,תל עדולם,Tel Adullam,,,,,,,,,,,,
תל אסור,,,,,,Q6989380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Arubot,Tall al Asawir,,,,,,Tel Assor,,תל אסור,Tel Esur,,,,,,,,,,,,
Tel Mifsah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל מפסח,Tel Mifsah,,,,,,,,,,,,
תל ישמעאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל ישמעאל,Tel Yishma`el,,,,,,,,,,,,
חורבת עקודים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khirbat al Quda,,,,חורבה גלילית טיפוסית עם מאגר מים יפה,חורבה גלילית טיפוסית עם מאגר מים יפה,,,חורבת עקודים,Horbat Akudim,,,,,,,,,,,,
תל כיסון,,,,,he:תל כיסון,Q55634890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/be/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%9B%D7%99%D7%A1%D7%9F.jpeg,תל כיסן,תל כיסן,Tel Kison,تل كيسون,תל כיסון,Tel Kison,,,,,,,,,,,,
Tel Zippor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל ציפור,Tel Zippor,,,,,,,,,,,,
תל מחוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל מחוז,Tel Mahoz,,,,,,,,,,,,
תל רעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל רעלה,Tel Re`ala,,,,,,,,,,,,
בית שערים,,,,,he:בית שערים,Q830805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beit She`arim,,,,,,Beït-Shéarim,,בית שערים,Beit She`arim,,,,,,,,,,,,
Tel Haraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell Abu Haraze,Tel Abu Haraza,,,,,,,,תל חרז,Tel Haraz,,,,,,,,,,,,
מצד חתרורים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qasr el Juheiniye,,,,Qasr el Juheiniya,Metsad Hatrurim,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Israel_Hiking_Map_מצד_חתרורים_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Israel_Hiking_Map_מצד_חתרורים.jpeg,,,,,מצד חתרורים,Mezad Hatrurim,,,,,,,,,,,,
תל תאומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל תאומים,Tel Te'omim,,,,,,,,,,,,
Tel Shihan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל שיחן,Tel Shihan,,,,,,,,,,,,
תל כלך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,Tall Umm Kalkha,,,,,,,,תל כלך,Tel Kelekh,,,,,,,,,,,,
תל עין חדה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל עין חדה,Tel Ein Hadda,,,,,,,,,,,,
Tel Ya`oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל יעוז,Tel Ya`oz,,,,,,,,,,,,
תל צורן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל צורן,Tel Zoran,,,,,,,,,,,,
Tel Sheqafim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל שקפים,Tel Sheqafim,,,,,,,,,,,,
תל דעוך,,,,,he:תל דעוך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Da`okh,,,,,,,,תל דעוך,Tel Da`ok,,,,,,,,,,,,
תל שוקת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل شوكت,תל שוקת,Tel Shoqet,,,,,,,,,,,,
תל מרוה,,,,,,Q26763556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell Marva,peak,497,,Tall Marida,Tall Marda,,,,,,Tel Marwa,,תל מרוה,Tel Marwa,,,,,,,,,,,,
תל שער,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tall Abu Babein,,,,,,,,תל שער,Tel Sha`ar,,,,,,,,,,,,
Tel Lachish,,,תל לכיש,,en:Tel Lachish,Q848509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Lachish,Tall ad Duweir,,,,Lakish,Lakhish,,,,Lachish,Duwayr,,https://upload.wikimedia.org/wikipedia/commons/0/08/Israel_Hiking_Map_תל_לכיש_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/3/37/Israel_Hiking_Map_תל_לכיש.jpeg,"תל לכיש הוא תל חשוב בשפלת יהודה, גובל בנחל לכיש.","תל לכיש הוא תל חשוב בשפלת יהודה, גובל בנחל לכיש.",Lakish,,תל לכיש,Tel Lakhish,,,,,,,,,,,,
תל א-שמאם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell esh Shemmam,,,,Tall ash Shamman,Tell esh Shammam,,,,,,,,תל א-שמאם,Tel Shem,,,,,,,,,,,,
חורבת קרומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hadashot-esi.org.il/report_detail.aspx?id=40&mag_id=108,,,,peak,434,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/IHM_חורבת_קרומית.jpeg,"שרידי מבנים, בורות מים, מיתקנים חצובים, מקוואות, מערות קבורה, חציבות ומערכת מסתור.","שרידי מבנים, בורות מים, מיתקנים חצובים, מקוואות, מערות קבורה, חציבות ומערכת מסתור.",,,חורבת קרומית,Horbat Qerumit,,,,,,,,,,,,
תל נופר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל נופר,Tel Nufar,,,,,,,,,,,,
תל קידה,,,,,,Q26762866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,507,,,Tall al Mashnaqa,,,,,,Tel Kida,,תל קידה,Tel Qidda,,,,,,,,,,,,
تل ملقوح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tall Maqhuz,,,,,,,تل ملقوح,תל מלקוח,Tel Malqoah,,,,,,,,,,,,
אפולוניה,,,,,he:אפולוניה,Q1024886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apollonia-Arsuf,~C6 BC,city,Apollonia,Арзуф,Арсуф,Apolónia da Palestina,Arsuf,Arsuf,Arsuf,Arsuf,phoenician,Apolonijský národní park,,Rishpon,,,Arsuf,Arsum,Arsuf,,,,Appolonia,Apollonia,,,,"אַפּוֹלוֹנְיָה-אַרְסוּף (גם תֵּל אַרְשָׁף) היא עיר עתיקה ששרידיה נמצאים היום בשרון הדרומי, ממערב לשכונת נוף ים בהרצליה, בקרבת סידנא עלי של ימינו. המקום הוכשר לביקורי מטיילים והוקם במקום גן לאומי.","אַפּוֹלוֹנְיָה-אַרְסוּף (גם תֵּל אַרְשָׁף) היא עיר עתיקה ששרידיה נמצאים היום בשרון הדרומי, ממערב לשכונת נוף ים בהרצליה, בקרבת סידנא עלי של ימינו. המקום הוכשר לביקורי מטיילים והוקם במקום גן לאומי.",Apollonie,أرسوف,אפולוניה,Tel Arshaf,Арсуф,Arsuf,,Απολλωνία,,,,,,,,
תל אגרא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל אגרא,Tel Agra,,,,,,,,,,,,
תל חווארה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell el Kawayir,Tall al Kawa'ir,,,,,,,,תל חווארה,Tel Chawara,,,,,,,,,,,,
תל נחל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell el Nahl,,,,,,,,תל נחל,Tel Nahal,,,,,,,,,,,,
תל ברור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל ברור,Tel Beror,,,,,,,,,,,,
תל זיתון,,,,,,Q61125424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zeton,,תל זיתון,Tel Zeton,,,,,,,,,,,,
Tel Par,,,,,he:תל פר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נחל פרצים,Tel Par,,,,,,,,,,,,
תל יזרעאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל יזרעאל,Tel Yizre'el,,,,,,,,,,,,
Sarafand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarepta Yudee,Tsarafand,,,,Surafend,As Sarafand,,,,,,,,צרפנד,Sarafand,,,,,,,,,,,,
